,Open,High,Low,Close,Volume,Turnover
01-Nov-2007,     9220.40,     9358.00,     9032.70,     9198.60,       23970671,         1847.37
02-Nov-2007,     8953.40,     9610.70,     8898.20,     9560.70,       16146049,         1284.26
05-Nov-2007,     9549.80,     9692.50,     9346.25,     9397.55,       20489175,         1847.14
06-Nov-2007,     9383.55,     9550.65,     9129.85,     9216.30,       10338959,         1020.71
07-Nov-2007,     9215.40,     9388.05,     9049.65,     9090.20,       10668551,         1114.94
08-Nov-2007,     9090.80,     9090.80,     8816.95,     8876.25,       11272695,         1102.85
09-Nov-2007,     8887.45,     9029.40,     8671.40,     8760.75,        1163813,          113.18
12-Nov-2007,     8596.15,     8819.90,     8429.35,     8758.20,       13987787,         1203.67
13-Nov-2007,     8761.35,     9149.00,     8642.85,     9060.00,       12641075,         1260.21
14-Nov-2007,     9230.65,     9651.85,     9230.65,     9613.05,       14945725,         1302.26
15-Nov-2007,     9560.20,     9601.45,     9422.35,     9454.70,        8458958,          821.81
16-Nov-2007,     9476.85,     9538.65,     9272.35,     9474.15,        9087150,          911.18
19-Nov-2007,     9541.10,     9595.45,     9367.85,     9396.25,       14321125,         1241.69
20-Nov-2007,     9356.40,     9574.85,     9210.10,     9277.85,       11156247,         1001.81
21-Nov-2007,     9272.20,     9291.65,     8766.35,     8829.80,       10654039,          967.15
22-Nov-2007,     8835.25,     9084.20,     8650.00,     8998.80,       12269272,         1219.63
23-Nov-2007,     9051.75,     9127.60,     8821.15,     8977.90,        9710491,          863.13
26-Nov-2007,     9136.05,     9255.05,     9093.40,     9122.45,        9546098,          932.32
27-Nov-2007,     9087.60,     9098.95,     8977.95,     9070.75,        8064554,          837.67
28-Nov-2007,     9043.60,     9216.15,     8938.10,     8970.85,        9552490,          922.79
29-Nov-2007,     9124.80,     9273.25,     9063.25,     9124.40,       10952413,         1063.85
30-Nov-2007,     9230.80,     9437.95,     9185.00,     9375.75,       10287408,         1052.87
03-Dec-2007,     9391.20,     9466.20,     9384.35,     9397.55,        9422781,          959.77
04-Dec-2007,     9404.15,     9452.70,     9341.05,     9367.10,        9063812,          811.47
05-Dec-2007,     9373.45,     9605.25,     9373.45,     9581.30,       14452292,         1245.60
06-Dec-2007,     9644.80,     9759.70,     9559.75,     9620.15,       10950078,          964.64
07-Dec-2007,     9677.85,     9804.55,     9605.45,     9796.10,       10172852,          989.63
10-Dec-2007,     9800.20,     9889.30,     9723.60,     9864.60,       11140435,          874.54
11-Dec-2007,     9961.65,    10124.75,     9899.95,    10090.70,       12135502,          950.67
12-Dec-2007,     9951.25,    10086.60,     9891.25,    10056.70,       11761149,         1022.88
13-Dec-2007,    10088.40,    10123.20,     9891.90,     9920.45,       10985437,          878.42
14-Dec-2007,     9886.85,     9948.95,     9776.80,     9803.15,        8318263,          853.51
17-Dec-2007,     9790.55,     9792.15,     9362.40,     9426.70,        7011890,          687.64
18-Dec-2007,     9507.90,     9507.90,     9225.45,     9279.20,        9094726,          865.70
19-Dec-2007,     9363.95,     9446.00,     9125.45,     9240.35,        7744291,          765.89
20-Dec-2007,     9275.65,     9332.85,     9205.35,     9245.45,        6152071,          709.06
24-Dec-2007,     9316.45,     9581.10,     9316.45,     9563.55,        6789353,          694.99
26-Dec-2007,     9545.70,     9772.00,     9545.70,     9755.20,        5626619,          509.87
27-Dec-2007,     9810.00,     9842.65,     9746.80,     9785.05,        9250159,          845.62
28-Dec-2007,     9742.05,     9840.35,     9625.30,     9828.35,        6320960,          544.37
31-Dec-2007,     9861.70,     9914.55,     9790.40,     9863.45,        5934695,          503.38
01-Jan-2008,     9819.50,     9927.40,     9813.95,     9905.25,        4800796,          368.47
02-Jan-2008,    10103.35,    10333.30,     9862.15,    10250.85,       16132598,         1250.06
03-Jan-2008,    10164.00,    10265.60,    10070.80,    10100.70,       12126962,          985.94
04-Jan-2008,    10288.05,    10326.25,    10120.90,    10233.20,        9086565,          812.34
07-Jan-2008,     9983.10,    10482.40,     9948.35,    10391.10,       14077464,         1553.62
08-Jan-2008,    10463.85,    10558.30,    10244.90,    10355.60,       13186656,         1486.64
09-Jan-2008,    10355.05,    10495.30,    10232.55,    10306.45,       15180883,         1466.57
10-Jan-2008,    10442.30,    10624.20,    10239.35,    10266.85,       17219890,         1861.02
11-Jan-2008,    10295.70,    10634.20,    10295.70,    10561.55,       14085865,         1471.84
14-Jan-2008,    10614.85,    10774.15,    10525.70,    10698.35,       16413678,         1833.41
15-Jan-2008,    10680.00,    10755.70,    10433.95,    10465.70,       13928586,         1557.24
16-Jan-2008,    10390.45,    10397.30,    10038.95,    10346.95,       18160427,         1984.57
17-Jan-2008,    10404.70,    10420.25,    10123.70,    10261.50,       15964263,         1635.01
18-Jan-2008,    10168.25,    10215.30,     9648.45,     9739.90,       17061445,         1710.00
21-Jan-2008,     9671.40,     9701.10,     8504.65,     9038.95,       18326588,         1989.61
22-Jan-2008,     8663.70,     9015.80,     7958.95,     8682.45,       18012851,         1713.35
23-Jan-2008,     9021.50,     9501.55,     8889.60,     9259.20,       19197218,         1804.21
24-Jan-2008,     9369.10,     9630.55,     8960.20,     9133.85,       17734431,         1670.39
25-Jan-2008,     9170.35,     9827.30,     9170.35,     9752.25,       13248968,         1291.18
28-Jan-2008,     9748.35,     9937.90,     9313.60,     9901.90,        8947193,          856.77
29-Jan-2008,     9933.20,    10113.35,     9420.75,     9569.60,       13418825,         1194.61
30-Jan-2008,     9635.35,     9635.35,     9309.80,     9404.15,       10425722,          848.33
31-Jan-2008,     9442.20,     9505.35,     9147.25,     9226.25,       18033762,         1489.60
01-Feb-2008,     9320.25,     9379.05,     9002.20,     9327.05,       12502764,         1197.68
04-Feb-2008,     9444.40,     9708.60,     9424.20,     9561.50,       11027252,          902.00
05-Feb-2008,     9577.30,     9577.30,     9363.35,     9397.80,        8301162,          734.65
06-Feb-2008,     9169.55,     9256.05,     9052.35,     9185.65,        7590020,          751.62
07-Feb-2008,     9225.30,     9283.35,     8925.90,     8960.45,       10245908,         1021.84
08-Feb-2008,     8976.60,     8999.95,     8624.75,     8817.00,       10936229,         1010.14
11-Feb-2008,     8841.20,     8879.30,     8216.90,     8419.25,       12065863,         1079.59
12-Feb-2008,     8586.00,     8637.90,     8406.25,     8512.35,        8151402,          747.89
13-Feb-2008,     8598.25,     8805.55,     8564.65,     8748.75,        8997623,          807.51
14-Feb-2008,     8911.60,     9163.20,     8911.60,     9125.20,        9823395,          939.76
15-Feb-2008,     9059.20,     9403.70,     8951.10,     9380.05,        9869726,          981.90
18-Feb-2008,     9411.25,     9518.35,     9320.40,     9404.20,        7841877,          694.97
19-Feb-2008,     9438.20,     9538.70,     9384.95,     9423.45,        9192112,          790.73
20-Feb-2008,     9215.45,     9346.05,     9056.10,     9129.10,        9031521,          828.44
21-Feb-2008,     9143.80,     9260.10,     8768.15,     8946.20,       10309467,          745.21
22-Feb-2008,     8922.15,     8922.15,     8642.00,     8685.10,        8227494,          662.85
25-Feb-2008,     8715.80,     8756.00,     8399.20,     8666.50,        9897255,          881.59
26-Feb-2008,     8704.35,     8810.15,     8691.10,     8742.25,        5978603,          517.38
27-Feb-2008,     8808.65,     8903.45,     8676.00,     8719.60,        8792698,          680.69
28-Feb-2008,     8683.85,     8757.15,     8496.80,     8608.25,       13379967,          991.49
29-Feb-2008,     8535.85,     8758.55,     8248.75,     8688.35,       19483111,         1501.17
03-Mar-2008,     8460.60,     8460.60,     8004.70,     8047.45,       15231742,         1210.86
04-Mar-2008,     8032.95,     8101.00,     7587.60,     7736.60,       19553022,         1612.52
05-Mar-2008,     7696.80,     7734.90,     7519.10,     7588.35,       26690588,         1820.98
07-Mar-2008,     7474.30,     7474.30,     7064.50,     7268.15,       21620050,         1512.21
10-Mar-2008,     7163.50,     7375.20,     6945.50,     7272.50,       24385828,         1476.76
11-Mar-2008,     7186.10,     7481.75,     7124.60,     7356.40,       20229638,         1368.40
12-Mar-2008,     7533.50,     7705.65,     7289.05,     7341.55,       18066183,         1268.47
13-Mar-2008,     7226.80,     7226.80,     6840.65,     6914.65,       10977751,          806.16
14-Mar-2008,     6914.15,     7124.95,     6880.00,     7106.00,       15875214,          947.32
17-Mar-2008,     6956.00,     6956.00,     6493.05,     6556.20,       17393309,         1127.51
18-Mar-2008,     6493.35,     6611.15,     6335.00,     6472.80,       22414027,         1340.21
19-Mar-2008,     6718.30,     6849.90,     6379.20,     6456.55,       24243556,         1473.18
24-Mar-2008,     6461.65,     6691.05,     6456.80,     6634.60,       16782044,         1046.36
25-Mar-2008,     6804.25,     7188.50,     6804.25,     7147.15,       20642103,         1111.64
26-Mar-2008,     7151.65,     7230.80,     7078.05,     7120.90,       20279745,         1077.89
27-Mar-2008,     7075.90,     7105.70,     6941.05,     6969.30,       25263285,         1319.89
28-Mar-2008,     7022.05,     7079.15,     6751.90,     7037.85,       22022453,         1165.38
31-Mar-2008,     6970.55,     6970.55,     6606.05,     6655.00,       20045785,         1096.03
01-Apr-2008,     6706.70,     6727.25,     6446.70,     6608.10,       15257280,          926.36
02-Apr-2008,     6690.80,     6949.45,     6690.80,     6772.70,       17692616,          995.40
03-Apr-2008,     6769.90,     6836.10,     6697.00,     6746.10,       12019409,          621.44
04-Apr-2008,     6754.05,     6766.30,     6502.00,     6545.15,       13122622,          836.79
07-Apr-2008,     6485.40,     6857.55,     6485.40,     6832.40,       14545133,          903.00
08-Apr-2008,     6843.00,     6959.75,     6750.40,     6862.70,       18771215,         1100.13
09-Apr-2008,     6839.25,     7094.85,     6805.40,     7059.55,       15677575,          796.69
10-Apr-2008,     7090.60,     7090.60,     6853.50,     6872.85,       14844132,          872.07
11-Apr-2008,     6935.80,     6960.20,     6817.55,     6838.45,       13179628,          794.93
15-Apr-2008,     6773.30,     6970.85,     6687.90,     6916.75,       16249725,         1001.04
16-Apr-2008,     6979.85,     7052.60,     6927.90,     6951.90,       11230352,          765.71
17-Apr-2008,     7045.40,     7213.80,     7030.45,     7165.05,       19670129,         1230.98
21-Apr-2008,     7174.45,     7451.90,     7117.65,     7425.45,       16073799,         1089.45
22-Apr-2008,     7402.80,     7542.25,     7383.70,     7520.90,       15918804,          968.02
23-Apr-2008,     7518.80,     7532.45,     7298.95,     7378.05,       13517009,          793.03
24-Apr-2008,     7408.35,     7446.75,     7362.60,     7391.90,       17997855,         1052.58
25-Apr-2008,     7409.50,     7651.40,     7409.50,     7616.30,       14775114,         1056.57
28-Apr-2008,     7643.35,     7706.60,     7567.85,     7590.05,       15209960,         1049.80
29-Apr-2008,     7580.05,     7815.90,     7570.45,     7737.45,       20273251,         1400.69
30-Apr-2008,     7765.25,     7804.20,     7575.45,     7629.00,       17813597,         1114.24
02-May-2008,     7774.10,     7900.85,     7774.10,     7871.90,       18105929,         1270.46
05-May-2008,     7879.65,     7990.45,     7819.90,     7851.50,       16855580,         1232.36
06-May-2008,     7842.90,     7871.30,     7751.85,     7814.55,       13475787,          942.08
07-May-2008,     7787.85,     7802.25,     7661.35,     7743.60,       14169449,          919.22
08-May-2008,     7671.85,     7671.85,     7502.10,     7518.80,       13227729,          916.07
09-May-2008,     7530.90,     7540.60,     7267.90,     7299.00,       17408877,         1136.01
12-May-2008,     7274.70,     7359.60,     7140.10,     7330.55,       13887239,          943.16
13-May-2008,     7384.80,     7471.45,     7295.80,     7340.95,       13840553,          988.85
14-May-2008,     7288.25,     7358.75,     7276.50,     7324.85,        9470859,          584.58
15-May-2008,     7325.15,     7524.70,     7325.15,     7508.15,       13761020,          866.11
16-May-2008,     7559.15,     7666.90,     7559.15,     7644.60,       14206533,          916.92
20-May-2008,     7616.85,     7616.85,     7405.50,     7459.20,       13821238,          992.29
21-May-2008,     7425.35,     7425.35,     7299.05,     7374.25,       11541182,          843.91
